Name,Age,Email,City,Salary,Department
  Sr,25,charlie@@mail.com,  LONDON ,60000,hr
 ,50,henry@mail.com,,,finance
Henry Sr,25,bob@example,,60000,
Eve  ,thirty,,london,50000,Engineering
Bob Sr,unknown,alice@example.com,  LONDON ,35000,HR
Charlie  ,45,invalid@,Berlin,50000,eng
  ,,bob@example,london,35000,
  ,unknown,,london,50000,HR
Daisy  ,45,  grace@mail.com,Paris,,eng
   ,30,  grace@mail.com,london, 50000,hr
Bob  ,,henry@mail.com,  LONDON ,60000,
Grace Jr,thirty,bob@example,London,35000,hr
  Sr,30,bob@example,Berlin,42000 ,finance
Bob,50,bob@example,New York,35000,eng
Daisy ,50,,London,60000,Engineering
Charlie,30,invalid@,New York,42000,
Charlie Jr,40,invalid@,,fifty thousand,
  ,thirty,bob@example,london,50000,HR
Eve Jr,thirty,invalid@,Paris,,Finance
  Sr,30,eveexample.com,Berlin, 50000,hr
Grace  ,50,bob@example,, 50000,
  Sr,30,henry@mail.com,, 50000,finance
Daisy  ,40,bob@example,  LONDON , 50000,
Charlie,40,charlie@@mail.com,New York,,eng
Charlie  ,45,invalid@,Berlin,50000,eng
  Sr,40,invalid@,,42000 ,Engineering
 Jr,25,bob@example,,50000,eng
Charlie Sr,45,invalid@,London,35000,hr
Eve ,50,charlie@@mail.com,london, 50000,hr
,unknown,,London,,HR
  Sr,unknown,,New York, 50000,Engineering
Henry  ,35,test@,,60000,HR
Charlie,50,alice@example.com,, 50000,Finance
   ,thirty,charlie@@mail.com,Paris,50000,hr
Daisy,40,test@,Berlin, 50000,Engineering
Eve Jr,50,eveexample.com,London,60000,
Frank,unknown,frank@example.com,London,fifty thousand,HR
 ,,invalid@,,42000 ,finance
Grace Jr,35,eveexample.com,,42000,Engineering
Eve ,25,charlie@@mail.com,New York,42000 ,finance
Daisy Jr,30,henry@mail.com,Berlin,fifty thousand,finance
Frank ,thirty,alice@example.com,London,fifty thousand,
  ,30,  grace@mail.com,New York,60000,hr
  ,,eveexample.com,London,50000,Finance
Alice Sr,unknown,,Paris,60000,Finance
